Name,Released Year,Age limit,Duration,Type,Stars
Darlings,2022,16+ ,2h 14m,Thriller Movies,"Alia Bhatt, Shefali Shah, Vijay Varma"
Carter,2022,18+ ,2h 14m,Action & Adventure,"Joo Won, Lee Sung-jae, Jeong So-ri"
Persuasion,2022,7+ ,1h 49m,Romantic Movies,"Dakota Johnson, Cosmo Jarvis, Nikki Amuka-Bird"
Doom of Love,2022,16+ ,1h 40m,Romantic Movies,"Boran Kuzum, Pınar Deniz, Yiğit Kirazcı"
Hep Yek 4: Bela Okuma Altan,2021,16+ ,1h 54m,Comedies,"İnan Ulaş Torun, Önder Açıkbaş, Yıldırım Memişoğlu"
Wedding Season,2022,13+ ,1h 37m,Romantic Movies,"Pallavi Sharda, Suraj Sharma, Arianna Afsar"
The Croods: A New Age,2020,7+ ,1h 35m,Kids & Family Movies,"Nicolas Cage, Emma Stone, Ryan Reynolds"
Bhool Bhulaiyaa 2,2022,13+ ,2h 21m,Hindi-Language Movies,"Tabu, Kartik Aaryan, Kiara Advani"
2 Hearts,2020,13+ ,1h 41m,Romantic Movies,"Jacob Elordi, Adan Canto, Radha Mitchell"
Interceptor,2022,16+ ,1h 38m,Military Movies,"Elsa Pataky, Luke Bracey, Aaron Glenane"
Rascals on Duty,2020,7+ ,1h 24m,Kids & Family Movies,"Berat Efe Parlar, Gaye Balım Parlak, Burak Hakkı"
Incantation,2022,18+ ,1h 51m,Horror Movies,"Tsai Hsuan-yen, Huang Sin-ting, Kao Ying-hsuan"
Cult of Chucky,2017,18+ ,1h 30m,Horror Movies,"Fiona Dourif, Michael Therriault, Adam Hurtig"
Jaadugar,2022,16+ ,2h 47m,Hindi-Language Movies,"Jitendra Kumar, Arushi Sharma, Jaaved Jaaferi"
Too Old for Fairy Tales,2022,7+ ,1h 46m,Kids & Family Movies,"Maciej Karaś, Dorota Kolak, Karolina Gruszka"
Code Name: Emperor,2022,18+ ,1h 45m,Thriller Movies,"Luis Tosar, Alexandra Masangkay, Georgina Amorós"
Memoirs of a Geisha,2005,18+ ,2h 25m,Romantic Movies,"Zhang Ziyi, Ken Watanabe, Koji Yakusho"
Rise of the Teenage Mutant Ninja Turtles: The Movie,2022,7+ ,1h 22m,Kids & Family Movies,"Ben Schwartz, Omar Benson Miller, Brandon Mychal Smith"
Dangerous Liaisons,2022,18+ ,1h 49m,Teen Movies,"Paola Locatelli, Simon Rérolle, Ella Pellegrini"
Spiderhead,2022,18+ ,1h 47m,Thriller Movies,"Chris Hemsworth, Miles Teller, Jurnee Smollett"
Spirited Away,2001,13+ ,2h 5m,Fantasy Anime,"Rumi Hiiragi, Miyu Irino, Mari Natsuki"
Howl’s Moving Castle,2004,7+ ,1h 59m,Kids & Family Movies,"Chieko Baisho, Takuya Kimura, Akihiro Miwa"
Pokémon: Mewtwo Strikes Back - Evolution,2019,7+ ,1h 37m,Kids & Family Movies,"Sarah Natochenny, Dan Green, Bill Rogers"
Ponyo,2008,7+ ,1h 41m,Kids & Family Movies,"Tomoko Yamaguchi, Kazushige Nagashima, Yuki Amami"
STAND BY ME Doraemon 2,2020,7+ ,1h 37m,Kids & Family Movies,"Wasabi Mizuta, Megumi Oohara, Yumi Kakazu"
My Neighbor Totoro,1988,All ,1h 27m,Kids & Family Movies,"Noriko Hidaka, Chika Sakamoto, Shigesato Itoi"
Whisper of the Heart,1995,7+ ,1h 51m,School Anime,"Yoko Honna, Kazuo Takahashi, Takashi Tachibana"
STAND BY ME Doraemon,2014,7+ ,1h 36m,Kids & Family Movies,"Wasabi Mizuta, Megumi Oohara, Yumi Kakazu"
Castle in the Sky,1986,7+ ,2h 4m,Kids & Family Movies,"Mayumi Tanaka, Keiko Yokozawa, Kotoe Hatsui"
Kiki’s Delivery Service,1989,7+ ,1h 43m,Kids & Family Movies,"Minami Takayama, Rei Sakuma, Keiko Toda"
The Cat Returns,2002,7+ ,1h 15m,Kids & Family Movies,"Chizuru Ikewaki, Yoshihiko Hakamada, Aki Maeda"
A Whisker Away,2020,7+ ,1h 45m,Kids & Family Movies,"Mirai Shida, Natsuki Hanae, Hiroaki Ogi"
Arrietty,2010,7+ ,1h 34m,Kids & Family Movies,"Mirai Shida, Ryunosuke Kamiki, Shinobu Otake"
Kuroko's Basketball: Last Game,2017,13+ ,1h 30m,School Anime,"Kensho Ono, Yuki Ono, Hiroshi Kamiya"
Pretty Guardian Sailor Moon Eternal The Movie,2021,13+ ,1 Season,Shoujo Anime,"Kotono Mitsuishi, Hisako Kanemoto, Rina Sato"
Earwig and the Witch,2020,All ,1h 22m,Kids & Family Movies,"Shinobu Terajima, Etsushi Toyokawa, Gaku Hamada"
When Marnie Was There,2014,7+ ,1h 43m,Kids & Family Movies,"Sara Takatsuki, Kasumi Arimura, Nanako Matsushima"
Words Bubble Up Like Soda Pop,2021,7+ ,1h 27m,Kids & Family Movies,"Somegoro Ichikawa, Hana Sugisaki, Megumi Han"
Bubble,2022,13+ ,1h 41m,Teen Movies,"Jun Shison, Riria, Mamoru Miyano"
Princess Mononoke,1997,13+ ,2h 14m,Fantasy Anime,"Yoji Matsuda, Yuriko Ishida, Yuko Tanaka"
Only Yesterday,1991,7+ ,1h 59m,Kids & Family Movies,"Miki Imai, Toshiro Yanagiba, Yoko Honna"
From Up on Poppy Hill,2011,7+ ,1h 31m,Historical Anime,"Masami Nagasawa, Junichi Okada, Keiko Takeshita"
Nausicaä of the Valley of the Wind,1984,7+ ,1h 57m,Kids & Family Movies,"Sumi Shimamoto, Mahito Tsujimura, Hisako Kyoda"
The Wind Rises,2013,13+ ,2h 6m,Historical Anime,"Hideaki Anno, Miori Takimoto, Hidetoshi Nishijima"
Porco Rosso,1992,13+ ,1h 33m,Anime Movies,"Shuichiro Moriyama, Tokiko Kato, Sanshi Katsura"
Violet Evergarden the Movie,2020,13+ ,2h 20m,Drama Anime,"Yui Ishikawa, Daisuke Namikawa"
